,Obtained,Name,Source
2,,Monk's Flameblade,"Enemy drop: Fire Monk in Mountaintops of the Giants (Chance),"
3,,Beastman's Cleaver,"Enemy drop: Azula Beastman (Chance),"
4,,Bloodhound's Fang,"Enemy drop: Bloodhound Knight Darriwil ,"
5,,Onyx Lord's Greatsword,"Enemy drop: Onyx Lord in Sealed Tunnel,"
6,,Zamor Curved Sword,"Enemy drop: Ancient Hero of Zamor in Giant-Conquering Hero's Grave,"
7,,Magma Wyrm's Scalesword,"Enemy drop: Magma Wyrm Makar ,"
8,,Morgott's Cursed Sword,Buy from merchant: Enia
9,,Horned Warrior's Greatsword,
10,,Freyja's Greatsword,
0,,Uchigatana,On ground: Deathtouched Catacombs
1,,Nagakiba,Quest: Bloody Finger Hunter Yura
2,,Serpentbone Blade,Quest: Volcano Manor
3,,Meteoric Ore Blade,On ground: Caelid Waypoint Ruins
4,,Moonveil,"Enemy drop: Magma Wyrm in Gael Tunnel,"
5,,Rivers of Blood,"Enemy drop: Bloody Finger Okina ,"
6,,Dragonscale Blade,"Enemy drop: Dragonkin Soldier in Lake of Rot,"
7,,Hand of Malenia,Buy from merchant: Enia
8,,Star-Lined Sword,
9,,Sword of Night,
0,,Twinblade,On ground: Dragon-Burnt Ruins
1,,Twinned Knight Swords,On ground: East Windmill Pasture
2,,Godskin Peeler,"Enemy drop: Godskin Apostle in Windmill Village,"
3,,Gargoyle's Twinblade,"Enemy drop: Valiant Gargoyle (Twinblade) ,"
4,,Gargoyle's Black Blades,"Enemy drop: Black Blade Kindred in Forbidden Lands,"
5,,Eleonora's Poleblade,"Quest: Bloody Finger Hunter Yura Enemy drop: Eleonora, Violet Bloody Finger ,"
6,,Black Steel Twinblade,
7,,Euporia,
0,,Hand Axe,Buy from merchant: Nomadic Merchant East Limgrave
1,,Forked Hatchet,"Enemy drop: Fanged Imp (Chance),"
2,,Battle Axe,Buy from merchant: Twin Maiden Husks
3,,Warped Axe,"Enemy drop: Ogre (Chance), Omen (Chance),"
4,,Jawbone Axe,"Enemy drop: Ancestral Follower (Chance),"
5,,Iron Cleaver,"Enemy drop: Misbegotten (Chance),"
6,,Highland Axe,On ground: Stormveil Castle
7,,Celebrant's Cleaver,"Enemy drop: Celebrant (Chance),"
8,,Sacrificial Axe,"Enemy drop: Deathbird in Castle Morne,"
9,,Icerind Hatchet,On ground: Temple Quarter
10,,Ripple Blade,"Buy from merchant: Pidia, Carian Servant"
11,,Stormhawk Axe,On ground: Leyndell Royal CapitalCastle Sol Quest: Nepheli Loux
12,,Rosus' Axe,On ground: Black Knife Catacombs
13,,Death Knight's Twin Axes,
14,,Forked-Tongue Hatchet,
15,,Messmer Soldier's Axe,
16,,Smithscript Axe,
0,,Backhand Blade,
1,,Curseblade's Cirque,
2,,Smithscript Cirque,
0,,Red Bear's Claw,
1,,Beast Claw (weapon),
0,,Dane's Footwork,
1,,Dryleaf Arts,
0,,Greataxe,On ground: Waypoint Ruins
1,,Crescent Moon Axe,"Enemy drop: Exile Soldier (Chance),"
2,,Longhaft Axe,"Enemy drop: Misbegotten (Chance),"
3,,Executioner's Greataxe,"Enemy drop: Skeletal Militiaman in Liurnia of the Lakes (Chance),"
4,,Great Omenkiller Cleaver,"Enemy drop: Miranda the Blighted Bloom in Perfumer's Grotto, Omenkiller in Perfumer's Grotto and Volcano Manor,"
5,,Rusted Anchor,"Enemy drop: Scaly Misbegotten ,"
6,,Butchering Knife,"Enemy drop: Anastasia, Tarnished-Eater in Corpse-Stench Shack,"
7,,Gargoyle's Great Axe,"Enemy drop: Valiant Gargoyle in Capital Outskirts,"
8,,Gargoyle's Black Axe,"Enemy drop: Black Blade Kindred in Forbidden Lands,"
9,,Winged Greathorn,Buy from merchant: Enia
10,,Axe of Godrick,Buy from merchant: Enia
11,,Bonny Butchering Knife,
12,,Death Knight's Longhaft Axe,
13,,Putrescence Cleaver,
0,,Club,"Buy from merchant: Nomadic Merchant West Limgrave Enemy drop: Demi-Human (Chance),"
1,,Curved Club,"Enemy drop: Albinauric in Academy Gate Town (Chance),"
2,,Spiked Club,"Enemy drop: Demi-Human (Chance),"
3,,Stone Club,"Enemy drop: Battlemage (Chance),"
4,,Mace,Buy from merchant: Twin Maiden Husks
5,,Morning Star,On ground: Weeping Peninsula
6,,Warpick,"Enemy drop: Godrick Soldier (Warpick & Shield) (Chance),"
7,,Hammer,On ground: Leyndell Royal Capital
8,,Monk's Flamemace,"Enemy drop: Fire Monk (Chance),"
9,,Varre's Bouquet,Quest: White Mask Varre
10,,Envoy's Horn,"Enemy drop: Oracle Envoy (Chance),"
11,,Nox Flowing Hammer,On ground: Night's Sacred Ground
12,,Ringed Finger,On ground: Gelmir Hero's Grave
13,,Scepter of the All-Knowing,"Enemy drop: Sir Gideon Ofnir, the All-Knowing ,"
14,,Marika's Hammer,Buy from merchant: Enia
15,,Flowerstone Gavel,
0,,Flail,On ground: Gatefront Ruins
1,,Nightrider Flail,"Enemy drop: Night's Cavalry in Castle Morne,"
2,,Chainlink Flail,"Enemy drop: Lesser Pumpkin Head in The Four Belfries (Chance),"
3,,Family Heads,"Enemy drop: Necromancer Garris ,"
4,,Bastard's Stars,Buy from merchant: Enia
5,,Serpent Flail,
0,,Large Club,On ground: Forlorn Hound Evergaol
1,,Curved Great Club,"Enemy drop: Albinauric (Chance),"
2,,Great Mace,On ground: Grand Lift of Dectus
3,,Pickaxe,"Enemy drop: Miner (Chance),"
4,,Brick Hammer,On ground: Stormveil Castle
5,,Battle Hammer,"Enemy drop: Frenzied Duelist (Chance),"
6,,Rotten Battle Hammer,"Enemy drop: Rotten Duelist (Consecrated Snowfield) ,"
7,,Celebrant's Skull,On ground: Windmill Village
8,,Great Stars,"On ground: Altus Plateau Enemy drop: Magnus the Beast Claw ,"
9,,Greathorn Hammer,"Enemy drop: Ancestral Follower (Chance),"
10,,Envoy's Long Horn,"Enemy drop: Large Oracle Envoy (Chance),"
11,,Cranial Vessel Candlestand,On ground: Giant-Conquering Hero's Grave
12,,Beastclaw Greathammer,Buy from merchant: Gurranq Beast Clergyman Quest: Gurranq Beast Clergyman
13,,Devourer's Scepter,"Quest: Knight Bernahl Enemy drop: Recusant Bernahl ,"
14,,Black Steel Greathammer,
15,,Smithscript Greathammer,
0,,Dragon-Hunter's Great Katana,
1,,Great Katana,
2,,Rakshasa's Great Katana,
0,,Duelist Greataxe,"Enemy drop: Frenzied Duelist (Chance),"
1,,Rotten Greataxe,"Enemy drop: Rotten Duelist (Ordina, Liturgical Town) ,"
2,,Golem's Halberd,"Enemy drop: Golem (Halberd) (Chance),"
3,,Giant-Crusher,On ground: Altus Plateau
4,,Prelate's Inferno Crozier,"Enemy drop: Prelate (Fort Laiedd) ,"
5,,Great Club,"Enemy drop: Stonedigger Troll in Old Altus Tunnel,"
6,,Troll's Hammer,On ground: Old Altus Tunnel
7,,Dragon Greatclaw,"Enemy drop: Draconic Tree Sentinel in Capital Outskirts,"
8,,Watchdog's Staff,On ground: Road's End Catacombs
9,,Staff of the Avatar,"Enemy drop: Erdtree Avatar in Deeproot Depths,"
10,,Rotten Staff,"Enemy drop: Erdtree Avatar in Deeproot Depths,"
11,,Envoy's Greathorn,"Enemy drop: Oracle Envoy Giant (Chance),"
12,,Ghiza's Wheel,"Quest: Volcano Manor Enemy drop: Inquisitor Ghiza ,"
13,,Fallingstar Beast Jaw,"Enemy drop: Full-Grown Fallingstar Beast ,"
14,,Axe of Godfrey,Buy from merchant: Enia
15,,Anvil Hammer,
16,,Bloodfiend's Arm,
17,,Devonia's Hammer,
18,,Gazing Finger,
19,,Shadow Sunflower Blossom,
0,,Short Spear,Buy from merchant: Twin Maiden Husks
1,,Iron Spear,"Enemy drop: Fallen Hawks Soldier (Chance),"
2,,Spear,"Enemy drop: Patches in The Shaded Castle, Exile Soldier (Chance),"
3,,Partisan,"Enemy drop: Godrick Knight (Chance), Leyndell Knight (Chance), Radahn Knight (Chance), Raya Lucaria Knight (Chance),"
4,,Pike,On ground: Stormveil Castle
5,,Spiked Spear,"Enemy drop: Marionette Soldier in Witchbane Ruins and Converted Tower (Chance),"
6,,Cross-Naginata,On ground: Gael Tunnel
7,,Clayman's Harpoon,"Enemy drop: Clayman (Chance),"
8,,Celebrant's Rib-Rake,"Enemy drop: Celebrant (Chance),"
9,,Torchpole,"Enemy drop: Exile Soldier (Chance),"
10,,Inquisitor's Girandole,"Enemy drop: Abductor Virgins ,"
11,,Crystal Spear,On ground: Sellia Hideaway
12,,Rotten Crystal Spear,"Enemy drop: Lesser Crystalian in Elphael, Brace of the Haligtree (Chance),"
13,,Cleanrot Spear,"Enemy drop: Lesser Cleanrot Knight in Swamp of Aeonia (Chance),"
14,,Death Ritual Spear,"Enemy drop: Death Rite Bird in Stargazer's Ruins,"
15,,Bolt of Gransax,On ground: Leyndell Royal Capital
16,,Bloodfiend's Fork,
17,,Smithscript Spear,
18,,Swift Spear,
0,,Lance,On ground: Deathtouched Catacombs
1,,Treespear,On ground: Liurnia of the Lakes
2,,Serpent-Hunter,On ground: Volcano Manor
3,,Siluria's Tree,"Enemy drop: Crucible Knight Siluria ,"
4,,Vyke's War Spear,"Quest: Festering Fingerprint Vyke Enemy drop: Festering Fingerprint Vyke ,"
5,,Mohgwyn's Sacred Spear,Buy from merchant: Enia
6,,Barbed Staff-Spear,
7,,Bloodfiend's Sacred Spear,
8,,Messmer Soldier's Spear,
9,,Spear of the Impaler,
0,,Halberd,Buy from merchant: Nomadic Merchant North Limgrave
1,,Banished Knight's Halberd,"Enemy drop: Edgar The Revenger , Banished Knight (Chance),"
2,,Lucerne,On ground: Highway Lookout Tower
3,,Glaive,"Enemy drop: Skeletal Militiaman in Liurnia of the Lakes (Chance), Skeleton Mage (Chance),"
4,,Vulgar Militia Shotel,"Enemy drop: Vulgar Militiamen (Chance),"
5,,Vulgar Militia Saw,"Enemy drop: Vulgar Militiamen (Chance),"
6,,Guardian's Swordspear,"Enemy drop: Guardian (Chance),"
7,,Gargoyle's Halberd,"Enemy drop: Valiant Gargoyle (Halberd) ,"
8,,Gargoyle's Black Halberd,"Enemy drop: Black Blade Kindred in Bestial Sanctum,"
9,,Nightrider Glaive,"Enemy drop: Night's Cavalry in Bellum Church,"
10,,Pest's Glaive,"Enemy drop: Lesser Kindred of Rot (Pests) (Chance),"
11,,Ripple Crescent Halberd,"Enemy drop: Albinauric in Academy Gate Town (Chance),"
12,,Golden Halberd,"Enemy drop: Tree Sentinel in Church of Elleh,"
13,,Dragon Halberd,"Enemy drop: Dragonkin Soldier in Siofra River,"
14,,Loretta's War Sickle,"Enemy drop: Loretta, Knight of the Haligtree ,"
15,,Commander's Standard,"Enemy drop: Commander O'Neil ,"
16,,Poleblade of the Bud,
17,,Spirit Blade,
0,,Scythe,On ground: Cliffbottom Catacombs
1,,Grave Scythe,"Enemy drop: Skeletal Militiaman in Limgrave and Liurnia of the Lakes (Chance), Skeleton Mage (Chance),"
2,,Halo Scythe,"Enemy drop: Lesser Cleanrot Knight in Swamp of Aeonia (Chance),"
3,,Winged Scythe,On ground: Tombsward Ruins
4,,Obsidian Lamina,
0,,Whip,On ground: Castle Morne
1,,Thorned Whip,"Enemy drop: Prelate in Zamor Ruins (Chance),"
2,,Urumi,On ground: Caria Manor
3,,Hoslow's Petal Whip,"Quest: DiallosVolcano Manor Enemy drop: Juno Hoslow, Knight of Blood ,"
4,,Magma Whip Candlestick,Quest: Patches
5,,Giant's Red Braid,Buy from merchant: Enia
6,,Tooth Whip,
0,,Caestus,Buy from merchant: Gatekeeper Gostoc
1,,Spiked Caestus,Buy from merchant: Isolated Merchant Dragonbarrow
2,,Katar,On ground: Fort Gael
3,,Iron Ball,Quest: Blackguard Big Boggart
4,,Star Fist,On ground: Leyndell Royal Capital
5,,Clinging Bone,"Enemy drop: Ensha ,"
6,,Veteran's Prosthesis,"Enemy drop: Commander Niall in Castle Sol,"
7,,Cipher Pata,On ground: Roundtable Hold
8,,Grafted Dragon,Buy from merchant: Enia
9,,Golem Fist,
10,,Madding Hand,
11,,Pata,
12,,Poisoned Hand,
13,,Thiollier's Hidden Needle,
0,,Hookclaws,On ground: Stormveil Castle
1,,Bloodhound Claws,"Enemy drop: Bloodhound Knight in Volcano Manor (Chance),"
2,,Venomous Fang,On ground: Abandoned Cave
3,,Raptor Talons,On ground: Sage's Cave
4,,Claws of Night,
0,,Shortbow,"Buy from merchant: Nomadic Merchant West Limgrave Enemy drop: Marionette Soldier (Chance),"
1,,Composite Bow,Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
2,,Red Branch Shortbow,"Enemy drop: Page (Chance),"
3,,Misbegotten Shortbow,"Enemy drop: Misbegotten (Chance),"
4,,Harp Bow,On ground: Altus Plateau
5,,Bone Bow,
0,,Longbow,"Buy from merchant: Twin Maiden Husks Enemy drop: Skeletal Militiaman in Deathtouched Catacombs and Tombsward Catacombs (Chance),"
1,,Albinauric Bow,"Enemy drop: Albinauric Wolfback Archer (Chance),"
2,,Black Bow,On ground: Leyndell Royal Capital
3,,Pulley Bow,On ground: Mt Gelmir
4,,Horn Bow,On ground: Hallowhorn Grounds
5,,Serpent Bow,On ground: Abandoned Cave
6,,Erdtree Bow,On ground: Leyndell Royal Capital
7,,Ansbach's Longbow,
0,,Greatbow,"On ground: Highway Lookout Tower (Altus Plateau) Enemy drop: Leyndell Knight (Chance), Haligtree Knight (Chance), Radahn Knight (Chance),"
1,,Golem Greatbow,"Enemy drop: Golem (Bow) (Chance),"
2,,Erdtree Greatbow,"Enemy drop: Chariot in Fringefolk Hero's Grave,"
3,,Lion Greatbow,Buy from merchant: Enia
4,,Igon's Greatbow,
0,,Soldier's Crossbow,"Enemy drop: Exile Soldier (Chance), Soldier (Chance),"
1,,Light Crossbow,Buy from merchant: Nomadic Merchant Castle Morne Rampart
2,,Heavy Crossbow,"Enemy drop: Mausoleum Soldier (Chance),"
3,,Arbalest,On ground: Stormveil Castle
4,,Crepus's Black-Key Crossbow,On ground: Roundtable Hold
5,,Pulley Crossbow,On ground: Craftsman's Shack
6,,Full Moon Crossbow,On ground: Raya Lucaria Academy
7,,Repeating Crossbow,
8,,Spread Crossbow,
0,,Hand Ballista,On ground: Forest Lookout Tower
1,,Jar Cannon,"Enemy drop: Demi-Human Queen Margot ,"
2,,Rabbath's Cannon,
0,,Smithscript Dagger,
0,,Astrologer's Staff,Buy from merchant: Nomadic Merchant Liurnia of the Lakes
1,,Glintstone Staff,"Enemy drop: Noble Sorcerer (Chance),"
2,,Academy Glintstone Staff,"Quest: Thops Enemy drop: Glintstone Sorcerer (Chance),"
3,,Digger's Staff,"Enemy drop: Sorcerer Miner (Chance),"
4,,Demi-Human Queen's Staff,"Enemy drop: Demi-Human Queen ,"
5,,Azur's Glintstone Staff,On ground: Raya Lucaria Academy
6,,Lusat's Glintstone Staff,"On ground: Sellia, Town of Sorcery"
7,,Carian Glintstone Staff,On ground: Carian Study Hall
8,,Carian Glintblade Staff,On ground: Highway Lookout Tower
9,,Carian Regal Scepter,Buy from merchant: Enia
10,,Albinauric Staff,On ground: Volcano Manor
11,,Staff of Loss,"On ground: Sellia, Town of Sorcery"
12,,Gelmir Glintstone Staff,"Enemy drop: Man-Serpent (Chance),"
13,,Crystal Staff,On ground: Academy Crystal Cave
14,,Rotten Crystal Staff,"Enemy drop: Lesser Crystalian in Elphael, Brace of the Haligtree (Chance),"
15,,Meteorite Staff,On ground: Street of Sages Ruins
16,,Staff of the Guilty,"Enemy drop: Thorn-Fire Sorcerer in Fort Laiedd and Mountaintops of the Giants (Chance),"
17,,Prince of Death's Staff,On ground: Deeproot Depths
18,,Maternal Staff,
19,,Staff of the Great Beyond,
0,,Finger Seal,Buy from merchant: Twin Maiden Husks
1,,Erdtree Seal,On ground: Volcano Manor
2,,Golden Order Seal,On ground: Minor Erdtree Church
3,,Gravel Stone Seal,"Enemy drop: Leyndell Knight in Leyndell Royal Capital (Chance),"
4,,Giant's Seal,On ground: Giant-Conquering Hero's Grave
5,,Godslayer's Seal,On ground: Stormveil Castle
6,,Clawmark Seal,Buy from merchant: Gurranq Beast Clergyman Quest: Gurranq Beast Clergyman
7,,Frenzied Flame Seal,Quest: Hyetta
8,,Dragon Communion Seal,On ground: Fringefolk Hero's Grave
9,,Dryleaf Seal,
10,,Fire Knight's Seal,
11,,Spiraltree Seal,
0,,Chilling Perfume Bottle,
1,,Deadly Poison Perfume Bottle,
2,,Firespark Perfume Bottle,
3,,Frenzyflame Perfume Bottle,
4,,Lightning Perfume Bottle,
0,,Torch,Buy from merchant: Merchant Kalé
1,,Beast-Repellent Torch,Buy from merchant: Isolated Merchant Dragonbarrow
2,,Steel-Wire Torch,On ground: Castle Morne
3,,Sentry's Torch,Buy from merchant: Hermit Merchant (Leyndell)
4,,Ghostflame Torch,"On ground: Nokron, Eternal City"
5,,St Trina's Torch,On ground: Consecrated Snowfield
6,,Lamenting Visage,
7,,Nanaya's Torch,
0,,Rickety Shield,"Enemy drop: Demi-Human (Chance),"
1,,Riveted Wooden Shield,Buy from merchant: Nomadic Merchant East Limgrave
2,,Blue-White Wooden Shield,On ground: Raya Lucaria Academy
3,,Scripture Wooden Shield,"Enemy drop: Skeletal Militiaman in Deathtouched Catacombs and Tombsward Catacombs and Auriza Hero's Grave (Chance),"
4,,Red Thorn Roundshield,Buy from merchant: Nomadic Merchant Castle Morne Rampart
5,,Pillory Shield,On ground: Gaol Cave
6,,Buckler,Buy from merchant: Gatekeeper Gostoc
7,,Iron Roundshield,Buy from merchant: Nomadic Merchant West Limgrave
8,,Gilded Iron Shield,On ground: Church of Pilgrimage
9,,Man-Serpent's Shield,"Enemy drop: Man-Serpent (Chance),"
10,,Ice Crest Shield,On ground: Caria Manor
11,,Rift Shield,Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
12,,Perfumer's Shield,"Enemy drop: Perfumer in Perfumer's Grotto (Chance),"
13,,Shield of the Guilty,On ground: Demi-Human Forest Ruins
14,,Spiralhorn Shield,On ground: Liurnia of the Lakes
15,,Smoldering Shield,On ground: Volcano Manor
16,,Coil Shield,On ground: Volcano Cave
17,,Shield of Night,
18,,Smithscript Shield,
0,,Hawk Crest Wooden Shield,On ground: Stormveil Castle
1,,Horse Crest Wooden Shield,Buy from merchant: Patches Quest: Patches
2,,Candletree Wooden Shield,On ground: Sage's Cave
3,,Flame Crest Wooden Shield,On ground: Ailing Village
4,,Marred Wooden Shield,"On ground: Stormveil Castle Enemy drop: Exile Soldier (Chance),"
5,,Sun Realm Shield,"Enemy drop: Skeletal Militiaman in Limgrave (Chance),"
6,,Round Shield,Buy from merchant: Nomadic Merchant Castle Morne Rampart
7,,Large Leather Shield,Buy from merchant: Merchant Kalé
8,,Black Leather Shield,"Buy from merchant: Pidia, Carian Servant"
9,,Marred Leather Shield,On ground: Stormveil Castle
10,,Heater Shield,Buy from merchant: Twin Maiden Husks
11,,Blue Crest Heater Shield,Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
12,,Red Crest Heater Shield,Buy from merchant: Nomadic Merchant West Altus Plateau
13,,Beast Crest Heater Shield,On ground: Limgrave
14,,Inverted Hawk Heater Shield,On ground: Siofra River
15,,Eclipse Crest Heater Shield,On ground: Tombsward Catacombs
16,,Kite Shield,Buy from merchant: Nomadic Merchant Liurnia of the Lakes
17,,Blue-Gold Kite Shield,Buy from merchant: Nomadic Merchant East Limgrave
18,,Scorpion Kite Shield,Buy from merchant: Nomadic Merchant West Altus Plateau
19,,Twinbird Kite Shield,"Enemy drop: Deathbird in Capital Outskirts,"
20,,Brass Shield,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance), Godrick Soldier (Sword) (Chance), Mausoleum Soldier (Chance), Raya Lucaria Soldier (Chance),"
21,,Banished Knight's Shield,"Enemy drop: Banished Knight (Chance),"
22,,Albinauric Shield,"Enemy drop: Albinauric (Chance),"
23,,Beastman's Jar-Shield,"Enemy drop: Azula Beastman (Chance),"
24,,Carian Knight's Shield,"Enemy drop: Moongrum, Carian Knight ,"
25,,Silver Mirrorshield,On ground: Apostate Derelict
26,,Great Turtle Shell,On ground: Weeping Peninsula
27,,Golden Lion Shield,
28,,Messmer Soldier Shield,
29,,Serpent Crest Shield,
30,,Wolf Crest Shield,
